Company Name,Industry,Symbol
Ceat Ltd.,Automobile and Auto Components,CEATLTD
Central Bank of India,Financial Services,CENTRALBK
Central Depository Services (India) Ltd.,Financial Services,CDSL
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX
Cera Sanitaryware Ltd,Consumer Durables,CERA
Chalet Hotels Ltd.,Consumer Services,CHALET
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN
Cipla Ltd.,Healthcare,CIPLA
City Union Bank Ltd.,Financial Services,CUB
Clean Science and Technology Ltd.,Chemicals,CLEAN
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP
Coforge Ltd.,Information Technology,COFORGE
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL
Computer Age Management Services Ltd.,Financial Services,CAMS
Container Corporation of India Ltd.,Services,CONCOR
Coromandel International Ltd.,Chemicals,COROMANDEL
CreditAccess Grameen Ltd.,Financial Services,CREDITACC
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON
Cummins India Ltd.,Capital Goods,CUMMINSIND
Cyient Ltd.,Information Technology,CYIENT
DCM Shriram Ltd.,Diversified,DCMSHRIRAM
DLF Ltd.,Realty,DLF
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR
Delta Corp Ltd.,Consumer Services,DELTACORP
Devyani International Ltd.,Consumer Services,DEVYANI
Dhani Services Ltd.,Financial Services,DHANI
Dilip Buildcon Ltd.,Construction,DBL
Divi's Laboratories Ltd.,Healthcare,DIVISLAB
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY
EIH Ltd.,Consumer Services,EIHOTEL
EPL Ltd.,Capital Goods,EPL
